lead_id,segment,platform,search_query,discovery_url,message_subject,message_body,status,followup_due_days
CR-0001,Health-conscious parents,YouTube,dye free snacks for kids,https://www.youtube.com/results?search_query=usa%20gummies%20dye%20free%20snacks%20for%20kids,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching dye free snacks for kids. I think there is a strong fit because your audience already cares about better-for-you choices like dye free snacks for kids.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 1 | Platform: YouTube",ready-to-send,4
CR-0002,Health-conscious parents,TikTok,dye free snacks for kids,https://www.tiktok.com/search?q=usa%20gummies%20dye%20free%20snacks%20for%20kids,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching dye free snacks for kids. I think there is a strong fit because your audience already cares about better-for-you choices like dye free snacks for kids.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 2 | Platform: TikTok",ready-to-send,4
CR-0003,Health-conscious parents,Instagram,dye free snacks for kids,https://www.instagram.com/explore/search/keyword/?q=usa%20gummies%20dye%20free%20snacks%20for%20kids,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching dye free snacks for kids. I think there is a strong fit because your audience already cares about better-for-you choices like dye free snacks for kids.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 3 | Platform: Instagram",ready-to-send,4
CR-0004,Health-conscious parents,LinkedIn,dye free snacks for kids,https://www.linkedin.com/search/results/content/?keywords=usa%20gummies%20dye%20free%20snacks%20for%20kids,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching dye free snacks for kids. I think there is a strong fit because your audience already cares about better-for-you choices like dye free snacks for kids.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 4 | Platform: LinkedIn",ready-to-send,4
CR-0005,Health-conscious parents,X,dye free snacks for kids,https://x.com/search?q=usa%20gummies%20dye%20free%20snacks%20for%20kids&f=live,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching dye free snacks for kids. I think there is a strong fit because your audience already cares about better-for-you choices like dye free snacks for kids.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 5 | Platform: X",ready-to-send,4
CR-0006,Health-conscious parents,YouTube,lunchbox snack swaps,https://www.youtube.com/results?search_query=usa%20gummies%20lunchbox%20snack%20swaps,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching lunchbox snack swaps. I think there is a strong fit because your audience already cares about better-for-you choices like lunchbox snack swaps.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 6 | Platform: YouTube",ready-to-send,4
CR-0007,Health-conscious parents,TikTok,lunchbox snack swaps,https://www.tiktok.com/search?q=usa%20gummies%20lunchbox%20snack%20swaps,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching lunchbox snack swaps. I think there is a strong fit because your audience already cares about better-for-you choices like lunchbox snack swaps.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 7 | Platform: TikTok",ready-to-send,4
CR-0008,Health-conscious parents,Instagram,lunchbox snack swaps,https://www.instagram.com/explore/search/keyword/?q=usa%20gummies%20lunchbox%20snack%20swaps,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching lunchbox snack swaps. I think there is a strong fit because your audience already cares about better-for-you choices like lunchbox snack swaps.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 8 | Platform: Instagram",ready-to-send,4
CR-0009,Health-conscious parents,LinkedIn,lunchbox snack swaps,https://www.linkedin.com/search/results/content/?keywords=usa%20gummies%20lunchbox%20snack%20swaps,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching lunchbox snack swaps. I think there is a strong fit because your audience already cares about better-for-you choices like lunchbox snack swaps.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 9 | Platform: LinkedIn",ready-to-send,4
CR-0010,Health-conscious parents,X,lunchbox snack swaps,https://x.com/search?q=usa%20gummies%20lunchbox%20snack%20swaps&f=live,Quick collab for parent-focused snack content,"Hi {{first_name}},

I run USA Gummies (premium gummy bears made in the USA with natural colors and no artificial dyes).

Found your work while researching lunchbox snack swaps. I think there is a strong fit because your audience already cares about better-for-you choices like lunchbox snack swaps.

If you are open to it, I can send product for an honest review or set up a no-retainer affiliate link so you only earn on attributed sales.

If yes, I can send details in one short message.

- Ben

Ref: Creator 10 | Platform: X",ready-to-send,4
